                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.85294,                 0.6951,                 1.0437,                0.85409,                0.61269,                0.67172,                0.37945,                 1.4331,                0.81782,                 1.3933,             0.00039827,             0.00039827,             0.00039827
                     69,                0.84347,                0.69613,                 1.0405,                0.86174,                0.61393,                0.68132,                0.39883,                 1.3737,                0.78976,                 1.3207,             0.00039356,             0.00039356,             0.00039356
                     70,                0.84006,                0.68515,                  1.037,                0.83153,                0.60574,                0.65869,                0.38674,                 1.4354,                0.82644,                 1.3565,             0.00038884,             0.00038884,             0.00038884
                     71,                0.83793,                0.68143,                 1.0357,                0.83315,                0.61948,                0.66995,                0.39427,                 1.3949,                 0.7826,                 1.3483,             0.00038413,             0.00038413,             0.00038413
                     72,                0.84057,                0.68868,                 1.0341,                0.85956,                0.61316,                 0.6775,                0.40239,                 1.3636,                0.77564,                 1.3425,             0.00037942,             0.00037942,             0.00037942
                     73,                0.84451,                 0.6795,                 1.0365,                0.82739,                0.62978,                0.68445,                0.41029,                 1.3176,                0.78018,                 1.3058,             0.00037471,             0.00037471,             0.00037471
                     74,                0.83833,                0.67299,                   1.03,                0.81005,                0.61882,                0.67238,                0.40462,                 1.3515,                0.79198,                 1.3469,             0.00036999,             0.00036999,             0.00036999
                     75,                0.83782,                0.67653,                 1.0309,                0.87619,                0.61178,                 0.6832,                0.39605,                 1.4081,                0.79335,                 1.3681,             0.00036528,             0.00036528,             0.00036528
                     76,                0.83402,                0.67038,                 1.0265,                0.84176,                0.60646,                0.66896,                0.38869,                 1.4358,                0.80076,                 1.3852,             0.00036057,             0.00036057,             0.00036057
                     77,                0.83061,                0.66769,                 1.0274,                 0.8421,                 0.6253,                0.68007,                 0.3953,                 1.4048,                 0.7806,                  1.358,             0.00035586,             0.00035586,             0.00035586
                     78,                0.83038,                 0.6642,                 1.0285,                0.87604,                0.59461,                0.68099,                0.39405,                 1.4592,                0.78098,                 1.3938,             0.00035115,             0.00035115,             0.00035115
                     79,                0.82418,                0.66829,                 1.0265,                0.80167,                 0.6379,                 0.6785,                0.38993,                 1.4448,                0.80279,                 1.3771,             0.00034643,             0.00034643,             0.00034643
                     80,                0.82548,                0.66657,                 1.0253,                0.79344,                0.63258,                0.67738,                0.40977,                 1.3576,                0.75452,                 1.3408,             0.00034172,             0.00034172,             0.00034172
                     81,                0.82266,                0.65833,                 1.0208,                 0.8562,                0.61572,                0.68652,                0.40794,                 1.3954,                0.76651,                 1.3564,             0.00033701,             0.00033701,             0.00033701
                     82,                0.82111,                 0.6595,                 1.0253,                0.85197,                0.63051,                0.68419,                0.41548,                 1.3279,                  0.757,                 1.3163,              0.0003323,              0.0003323,              0.0003323
                     83,                0.81196,                0.65145,                 1.0217,                0.83835,                0.61882,                0.68944,                0.41074,                 1.3408,                0.74307,                 1.3106,             0.00032758,             0.00032758,             0.00032758
                     84,                 0.8172,                0.65162,                 1.0213,                0.83359,                0.62293,                0.67981,                 0.4077,                 1.3739,                0.74596,                 1.3416,             0.00032287,             0.00032287,             0.00032287
                     85,                0.81719,                0.65233,                 1.0245,                0.86838,                0.61451,                 0.6798,                 0.4072,                 1.3657,                0.75791,                 1.3264,             0.00031816,             0.00031816,             0.00031816
                     86,                 0.8137,                0.64859,                 1.0226,                0.87146,                0.60814,                0.68489,                0.39527,                  1.415,                0.76392,                 1.3762,             0.00031345,             0.00031345,             0.00031345
                     87,                0.80537,                0.64447,                 1.0187,                0.87797,                0.59801,                0.67399,                0.40393,                 1.3443,                0.77852,                 1.3239,             0.00030873,             0.00030873,             0.00030873
                     88,                0.80333,                0.64275,                  1.018,                0.87901,                0.62379,                0.69288,                0.41544,                 1.3144,                0.73595,                 1.3116,             0.00030402,             0.00030402,             0.00030402
                     89,                0.79819,                0.62963,                 1.0151,                 0.8577,                0.62714,                0.68775,                0.41517,                 1.3448,                0.74179,                 1.3276,             0.00029931,             0.00029931,             0.00029931
                     90,                0.80126,                0.63662,                 1.0139,                0.85606,                0.62822,                0.69007,                0.41594,                 1.3612,                0.73895,                 1.3521,              0.0002946,              0.0002946,              0.0002946
                     91,                0.80252,                0.63488,                 1.0138,                0.86668,                0.60509,                0.68136,                 0.4242,                 1.2894,                0.74623,                 1.2836,             0.00028988,             0.00028988,             0.00028988
                     92,                0.79028,                0.62412,                 1.0087,                0.85981,                0.62041,                0.68293,                0.42284,                 1.2965,                0.73283,                 1.2974,             0.00028517,             0.00028517,             0.00028517
                     93,                0.79254,                0.63117,                  1.011,                0.88197,                0.62792,                0.69598,                 0.4227,                 1.3261,                0.72872,                 1.3121,             0.00028046,             0.00028046,             0.00028046
                     94,                0.78688,                0.62055,                 1.0111,                0.83679,                  0.625,                0.69535,                0.42223,                 1.3132,                0.73577,                 1.2957,             0.00027575,             0.00027575,             0.00027575
                     95,                0.78779,                0.62593,                 1.0127,                0.86155,                0.62599,                0.69682,                0.42422,                 1.3112,                0.71127,                 1.3053,             0.00027103,             0.00027103,             0.00027103
                     96,                0.78933,                0.62051,                 1.0109,                0.84547,                0.62833,                0.69186,                0.41691,                 1.3219,                0.72309,                 1.3033,             0.00026632,             0.00026632,             0.00026632
                     97,                0.78603,                0.61587,                 1.0079,                0.84665,                0.63654,                0.69307,                0.42019,                 1.3141,                0.71329,                 1.3002,             0.00026161,             0.00026161,             0.00026161
                     98,                 0.7848,                0.61748,                 1.0095,                0.88066,                0.62233,                0.68972,                0.42454,                 1.2908,                0.71617,                 1.2703,              0.0002569,              0.0002569,              0.0002569
                     99,                0.77141,                0.61326,                 1.0019,                0.88684,                0.61909,                0.69724,                0.42306,                  1.294,                0.71382,                 1.2888,             0.00025218,             0.00025218,             0.00025218
                    100,                0.78058,                0.61224,                 1.0034,                0.82398,                 0.6291,                0.67576,                0.41895,                 1.2493,                0.72525,                 1.2624,             0.00024747,             0.00024747,             0.00024747
                    101,                0.78246,                0.61189,                 1.0079,                0.87822,                0.61028,                0.68917,                0.42629,                 1.2412,                0.69843,                  1.268,             0.00024276,             0.00024276,             0.00024276
                    102,                0.77983,                0.60539,                 1.0017,                0.87818,                0.62977,                0.69211,                0.41821,                 1.3054,                0.70972,                 1.2976,             0.00023805,             0.00023805,             0.00023805
                    103,                0.76579,                  0.609,                 1.0008,                0.88176,                0.62413,                 0.7002,                 0.4309,                 1.2785,                0.70705,                 1.2843,             0.00023334,             0.00023334,             0.00023334
